–
de
que
a
e
o
para
um
Harry
se
não
uma
com
do
em
os
da
disse
no
na
é
ele
as
por
Rony
mais
O
você
mas
estava
à
como
ao
muito
quando
E
Não
dos
A
Harry,
era
sua
foi
me
está
Harry.
seu
das
coisa
eu
Ele
Mas
Hermione
ter
Hagrid
Você
até
perguntou
ser
olhos
tinha
ela
vai
sem
pelo
lhe
Os
eles
Rony,
Que
parecia
Sr.
tão
pela
voz
só
Eu
já
nos
alguma
É
seus
Dumbledore
Rony.
porta
dois
nem
estavam
vez
Snape
sobre
fazer
ainda
cabeça
bem
ver
grande
isso
porque
tinham
havia
todos
enquanto
tem
nunca
outra
fora
quase
viu
lado
meu
deu
sala
onde
dizer
Lockhart
nada
Draco
quem
Por
cima
mesmo
ou
vocês
Ah,
Weasley
tempo
ficou
alunos
varinha
Era
Duda
cara
–,
respondeu
Um
nas
fez
todo
melhor
depois
agora
tio
rosto
Madame
antes
Eles
mão
volta
tivesse
Prof.
estar
aos
Potter
alguém
Quando
olhar
Dobby
tudo
Então
Se
pessoas
Válter
pode
minha
às
e,
cada
tentando
casa
escola
—
três
dia
Hagrid,
Sra.
Dursley
outro
meio
aqui
dar
Grifinória
ia
Neville
suas
Fred
começou
lá
saiu
vamos
exclamou
sempre
direção
Mione
Malfoy
podia
As
num
ninguém
ficar
vou
Riddle
sido
sabe
também
dentro
senhor
falar
toda
pouco
Ela
alto
Profa.
olhou
poderia
Gina
carro
Uma
entre
frente
hora
Filch
então
falou
Como
dele
primeiro
gritou
atrás
foram
eram
menos
Profa
teve
fazendo
noite
lugar
Quirrell
Percy
garoto
ele,
fosse
mesa
são
ir
outros
Jorge
bem,
chão
certeza
Acho
coisas
cabelos
mundo
capa
estão
teria
contra
sabia
vão
Hogwarts
pelos
ar
primeira
numa
gente
ouviu
tia
sei
Está
aula
Vocês
pessoa
quanto
qualquer
depressa
correndo
realmente
ele.
livros
Foi
corredor
Em
duas
vassoura
saber
deve
há
nome
Câmara
Estava
Vamos
ano
abriu
Sonserina
Hermione.
boca
olhando
repente
passar
Minerva
tentou
queria
bateu
devia
talvez
vestes
sentiu
Hagrid.
tenha
vezes
quer
uns
estou
Petúnia
vez.
deixou
tanto
cabeça.
caminho
bruxo
livro
entrar
No
nós
este
time
estivesse
luz
aquela
Hermione,
deixar
algum
dele.
conseguiu
segundo
ali
mãos
Weasley,
passou
acha
mal
professor
Só
durante
parou
trás
aquele
Muito
sair
apenas
embora
Na
enorme
dando
tenho
Havia
pai
nariz
dele,
parede
força
CAPÍTULO
diante
chapéu
encontrar
bom
pensar
Quase
mesma
Com
pelas
família
contar
é?
voltar
quero
Dumbledore.
diário
Sem
